IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.4,,,,,,81.4,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,BEL,Belgium,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.42,,,,,,81.42,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,SVK,Slovakia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,81.44,,,,,,81.44,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Sex,Male,MLE,,,,,,,,,,81.49,,,,,,81.49,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,PRT,Portugal,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.57,,,,,,81.57,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,HRV,Croatia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,81.6,,,,,,81.6,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.61,,,,,,81.61,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,AUT,Austria,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.65,,,,,,81.65,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,DEU,Germany,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.72,,,,,,81.72,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CHE,Switzerland,Year,2019,true,Sex,Male,MLE,,,,,,,,,,81.75,,,,,,81.75,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,NLD,Netherlands,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.79,,,,,,81.79,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,IRL,Ireland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.84,,,,,,81.84,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,COL,Colombia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,81.87,,,,,,81.87,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,MLT,Malta,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,81.89,,,,,,81.89,,,EN,2020-12-04T05:00:00.000Z
WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,CZE,Czechia,Year,2019,true,Sex,Female,FMLE,,,,,,,,,,81.93,,,,,,81.93,,,EN,2020-12-04T05:00:00.000Z
